Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.84,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",3.07,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",7.1,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",7.92,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",6.87,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.91,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.84,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",6.64,04/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",8.22,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",5.97,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",5.75,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.77,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",8.31,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",6.6,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.29,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",8.21,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",9,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",8.28,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",6.96,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",6.6,03/02/2020 11:50,,,,,,,,,,,,
03/02/2020 11:38,02/02/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",7.47,03/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",7.22,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",6.16,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",5.92,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",5.1,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",7.29,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",6.47,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.9,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",7.23,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",8.04,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",7.17,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",6.69,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",6.47,02/02/2020 11:50,,,,,,,,,,,,
02/02/2020 11:38,01/02/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",6.98,02/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",7.76,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",6.35,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",6.13,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",5.8,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",7.85,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",7.17,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.63,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",7.75,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",7.76,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",7.61,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",6.79,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",7.17,01/02/2020 11:50,,,,,,,,,,,,
01/02/2020 11:38,31/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",7.31,01/02/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",6.78,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",5.13,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.92,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.56,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",6.86,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",5.86,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.23,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",6.79,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",7.41,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",6.96,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.73,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",5.86,31/01/2020 11:50,,,,,,,,,,,,
31/01/2020 11:38,30/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",6.58,31/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",4.71,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",3.42,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",3.16,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",3.04,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",4.75,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.46,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",3.25,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",4.76,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",5.94,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.28,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",4.44,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.46,30/01/2020 11:50,,,,,,,,,,,,
30/01/2020 11:38,29/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",5.76,30/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",3.62,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",2.53,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",2.26,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",1.75,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",3.62,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",2.47,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",2.46,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",3.68,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",4.79,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",4.1,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",3.54,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",2.47,29/01/2020 11:50,,,,,,,,,,,,
29/01/2020 11:38,28/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",4.51,29/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.53,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.06,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",3.85,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",3.12,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",5.59,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.02,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",2.93,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",5.57,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",6.38,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.33,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",4.35,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.02,28/01/2020 11:50,,,,,,,,,,,,
28/01/2020 11:38,27/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",5.38,28/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.97,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.45,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.24,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.25,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",6.04,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.59,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",3.85,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",6,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",6.58,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.83,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",4.93,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.59,27/01/2020 11:50,,,,,,,,,,,,
27/01/2020 11:38,26/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",5.78,27/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.11,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.17,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",3.97,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.83,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",5.17,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.68,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.3,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",5.15,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",5.71,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.03,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",4.44,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.68,26/01/2020 11:50,,,,,,,,,,,,
26/01/2020 11:38,25/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",5.22,26/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.39,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.54,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.37,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.9,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",5.47,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",5.15,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.72,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",5.42,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",5.74,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",4.57,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",4.87,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",5.15,25/01/2020 11:50,,,,,,,,,,,,
25/01/2020 11:38,24/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",4.98,25/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.42,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.09,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",3.93,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.91,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",5.51,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.99,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",5.68,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",5.45,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",5.38,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",3.64,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.07,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.99,24/01/2020 11:50,,,,,,,,,,,,
24/01/2020 11:38,23/01/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",4.92,24/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",4.66,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.07,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",3.93,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",4.98,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",4.73,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.87,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",6.21,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",4.7,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",4.74,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",2.32,23/01/2020 11:50,,,,,,,,,,,,
23/01/2020 11:38,22/01/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.07,23/01/2020 11:50,,,,,,,,,,,,
